Lead ID,Location,College/University,Year of Study,Program Interest,Lead Source
LD340,Indore,Devi Ahilya Vishwavidyalaya,3rd,Biotechnology,College Collaboration
LD341,Chennai,SRM Institute of Science and Technology,3rd,Artificial Intelligence,College Collaboration
LD342,Mumbai,Mithibai College,2nd,Business Administration,Mass-Mailing
LD343,Chennai,Loyola College,3rd,Robotics,Instagram
LD344,Mumbai,K. J. Somaiya College of Engineering,2nd,Environmental Science,Instagram
LD345,Mumbai,Mithibai College,2nd,Biotechnology,LinkedIn
LD346,Chennai,Vellore Institute of Technology (VIT),2nd,Biotechnology,Instagram
LD347,Indore,Devi Ahilya Vishwavidyalaya,1st,Electric Vehicles,College Collaboration
LD348,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Business Administration,LinkedIn
LD349,Kolkata,University of Calcutta,2nd,Environmental Science,Google Form
LD350,Delhi,Lady Shri Ram College for Women,4th,Robotics,Google Form
LD351,Chennai,Indian Institute of Technology Madras (IIT-M),3rd,Electric Vehicles,Google Form
LD352,Chennai,Loyola College,3rd,Biotechnology,LinkedIn
LD353,Bengaluru,PES University,3rd,Business Administration,LinkedIn
LD354,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,Mass-Mailing
LD355,Kolkata,Jadavpur University,1st,Business Administration,LinkedIn
LD356,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,LinkedIn
LD357,Delhi,Lady Shri Ram College for Women,2nd,Environmental Science,LinkedIn
LD358,Mumbai,St. Xavier's College,2nd,Environmental Science,LinkedIn
LD359,Delhi,Indian Institute of Technology Delhi (IIT-D),1st,Robotics,College Collaboration
LD360,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Business Administration,LinkedIn
LD361,Jaipur,Rajasthan Technical University,3rd,Robotics,College Collaboration
LD362,Bengaluru,Bangalore Institute of Technology,3rd,Cybersecurity,College Collaboration
LD363,Delhi,Delhi Technological University (DTU),4th,Robotics,Google Form
LD364,Ahmedabad,Gujarat University,4th,Biotechnology,LinkedIn
LD365,Hyderabad,University of Hyderabad,2nd,Robotics,Google Form
LD366,Bengaluru,RV College of Engineering,3rd,Biotechnology,Google Form
LD367,Ahmedabad,Gujarat University,2nd,Cybersecurity,Google Form
LD368,Chennai,Anna University,3rd,Business Administration,Google Form
LD369,Pune,Symbiosis International University,3rd,Business Administration,College Collaboration
LD370,Kolkata,Jadavpur University,4th,Environmental Science,Instagram
LD371,Bengaluru,Indian Institute of Science (IISc),1st,Data Science,Google Form
LD372,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Environmental Science,LinkedIn
LD373,Ahmedabad,Nirma University,4th,Robotics,College Collaboration
LD374,Ahmedabad,Gujarat University,2nd,Data Science,College Collaboration
LD375,Pune,MIT World Peace University,4th,Robotics,Mass-Mailing
LD376,Delhi,University of Delhi,2nd,Electric Vehicles,LinkedIn
LD377,Chennai,Loyola College,2nd,Cybersecurity,College Collaboration
LD378,Bengaluru,Indian Institute of Science (IISc),2nd,Business Administration,Instagram
LD379,Pune,University of Pune (Savitribai Phule Pune University),2nd,Cybersecurity,College Collaboration
LD380,Chennai,Vellore Institute of Technology (VIT),2nd,Biotechnology,Google Form
LD381,Pune,Bharati Vidyapeeth Deemed University,3rd,Business Administration,Whatsapp
LD382,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Environmental Science,Mass-Mailing
LD383,Bengaluru,Indian Institute of Science (IISc),4th,Cybersecurity,Google Form
LD384,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Business Administration,LinkedIn
LD385,Delhi,Jawaharlal Nehru University (JNU),4th,Environmental Science,Google Form
LD386,Pune,Symbiosis International University,2nd,Biotechnology,Google Form
LD387,Indore,Devi Ahilya Vishwavidyalaya,2nd,Data Science,College Collaboration
LD388,Bengaluru,Bangalore Institute of Technology,2nd,Data Science,LinkedIn
LD389,Ahmedabad,Nirma University,1st,Artificial Intelligence,Google Form
LD390,Ahmedabad,Nirma University,1st,Cybersecurity,Instagram
LD391,Delhi,Lady Shri Ram College for Women,1st,Cybersecurity,Mass-Mailing
LD392,Ahmedabad,Gujarat University,4th,Business Administration,LinkedIn
LD393,Ahmedabad,Nirma University,2nd,Robotics,Google Form
LD394,Bengaluru,PES University,2nd,Artificial Intelligence,Instagram
LD395,Kolkata,Indian Statistical Institute,2nd,Artificial Intelligence,College Collaboration
LD396,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Electric Vehicles,Google Form
LD397,Ahmedabad,Gujarat University,1st,Robotics,Google Form
LD398,Hyderabad,International Institute of Information Technology (IIIT-H),3rd,Artificial Intelligence,College Collaboration
LD399,Chennai,Anna University,2nd,Cybersecurity,Mass-Mailing
LD400,Ahmedabad,Nirma University,3rd,Artificial Intelligence,Google Form
LD401,Bengaluru,RV College of Engineering,2nd,Environmental Science,College Collaboration
LD402,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Data Science,Instagram
LD403,Chennai,Madras Christian College,4th,Business Administration,LinkedIn
LD404,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Business Administration,College Collaboration
LD405,Hyderabad,Indian School of Business (ISB),3rd,Business Administration,Mass-Mailing
LD406,Ahmedabad,Nirma University,4th,Electric Vehicles,Whatsapp
LD407,Delhi,Guru Gobind Singh Indraprastha University,1st,Cybersecurity,Google Form
LD408,Ahmedabad,Nirma University,4th,Artificial Intelligence,LinkedIn
LD409,Ahmedabad,Nirma University,2nd,Electric Vehicles,Google Form
LD410,Bengaluru,Indian Institute of Management Bangalore (IIM-B),3rd,Data Science,Instagram
LD411,Mumbai,Sardar Patel Institute of Technology,4th,Cybersecurity,Instagram
LD412,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,Google Form
LD413,Delhi,Guru Gobind Singh Indraprastha University,3rd,Environmental Science,Instagram
LD414,Bengaluru,Indian Institute of Science (IISc),4th,Robotics,Google Form
LD415,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Environmental Science,LinkedIn
LD416,Hyderabad,Osmania University,2nd,Business Administration,College Collaboration
LD417,Ahmedabad,Gujarat University,2nd,Environmental Science,College Collaboration
LD418,Chennai,Indian Institute of Technology Madras (IIT-M),1st,Cybersecurity,LinkedIn
LD419,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Business Administration,Instagram
LD420,Delhi,Jamia Millia Islamia,2nd,Environmental Science,LinkedIn
LD421,Ahmedabad,Gujarat University,3rd,Business Administration,College Collaboration
LD422,Ahmedabad,Gujarat University,1st,Cybersecurity,LinkedIn
LD423,Ahmedabad,Gujarat University,3rd,Environmental Science,Mass-Mailing
LD424,Ahmedabad,Gujarat University,2nd,Electric Vehicles,Instagram
LD425,Bengaluru,Indian Institute of Science (IISc),3rd,Business Administration,Google Form
LD426,Kolkata,Indian Statistical Institute,1st,Robotics,Instagram
LD427,Bengaluru,Bangalore Institute of Technology,4th,Environmental Science,College Collaboration
LD428,Ahmedabad,Gujarat University,2nd,Data Science,Instagram
LD429,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Artificial Intelligence,College Collaboration
LD430,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,LinkedIn
LD431,Ahmedabad,Gujarat University,4th,Environmental Science,College Collaboration
LD432,Ahmedabad,Gujarat University,4th,Business Administration,Instagram
LD433,Pune,MIT World Peace University,3rd,Biotechnology,Google Form
LD434,Mumbai,K. J. Somaiya College of Engineering,3rd,Artificial Intelligence,LinkedIn
LD435,Hyderabad,Osmania University,2nd,Cybersecurity,LinkedIn
LD436,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Electric Vehicles,Google Form
LD437,Bengaluru,PES University,1st,Business Administration,LinkedIn
LD438,Mumbai,University of Mumbai,4th,Cybersecurity,Mass-Mailing
LD439,Mumbai,Mithibai College,3rd,Electric Vehicles,LinkedIn
LD440,Chennai,Loyola College,2nd,Data Science,Mass-Mailing
LD441,Bengaluru,Indian Institute of Science (IISc),2nd,Business Administration,Whatsapp
LD442,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Electric Vehicles,Instagram
LD443,Delhi,University of Delhi,2nd,Biotechnology,Google Form
LD444,Kolkata,Jadavpur University,2nd,Environmental Science,LinkedIn
LD445,Delhi,Lady Shri Ram College for Women,3rd,Cybersecurity,College Collaboration
LD446,Indore,Devi Ahilya Vishwavidyalaya,2nd,Electric Vehicles,Whatsapp
LD447,Ahmedabad,Nirma University,4th,Data Science,College Collaboration
LD448,Hyderabad,University of Hyderabad,4th,Biotechnology,Whatsapp
LD449,Mumbai,University of Mumbai,4th,Cybersecurity,Google Form
LD450,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Robotics,Instagram
LD451,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Data Science,Instagram
LD452,Ahmedabad,Nirma University,2nd,Cybersecurity,LinkedIn
LD453,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Artificial Intelligence,LinkedIn
LD454,Ahmedabad,Nirma University,3rd,Robotics,Google Form
LD455,Indore,Devi Ahilya Vishwavidyalaya,2nd,Electric Vehicles,Instagram
LD456,Pune,Symbiosis International University,2nd,Environmental Science,LinkedIn
LD457,Bengaluru,PES University,2nd,Robotics,College Collaboration
LD458,Mumbai,University of Mumbai,4th,Environmental Science,LinkedIn
LD459,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Biotechnology,LinkedIn
LD460,Delhi,Lady Shri Ram College for Women,4th,Environmental Science,College Collaboration
LD461,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Environmental Science,College Collaboration
LD462,Bengaluru,Christ University,2nd,Artificial Intelligence,LinkedIn
LD463,Jaipur,Rajasthan Technical University,4th,Artificial Intelligence,College Collaboration
LD464,Bengaluru,Indian Institute of Science (IISc),2nd,Biotechnology,Whatsapp
LD465,Delhi,Jawaharlal Nehru University (JNU),3rd,Cybersecurity,LinkedIn
LD466,Indore,Devi Ahilya Vishwavidyalaya,1st,Environmental Science,Instagram
LD467,Jaipur,Rajasthan Technical University,3rd,Data Science,Instagram
LD468,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Cybersecurity,College Collaboration
LD469,Ahmedabad,Nirma University,1st,Environmental Science,Google Form
LD470,Chennai,SRM Institute of Science and Technology,1st,Data Science,Instagram
LD471,Hyderabad,University of Hyderabad,2nd,Artificial Intelligence,Instagram
LD472,Bengaluru,RV College of Engineering,2nd,Cybersecurity,LinkedIn
LD473,Ahmedabad,Nirma University,4th,Cybersecurity,Mass-Mailing
LD474,Mumbai,K. J. Somaiya College of Engineering,3rd,Data Science,Mass-Mailing
LD475,Chennai,Vellore Institute of Technology (VIT),2nd,Cybersecurity,Mass-Mailing
LD476,Delhi,Guru Gobind Singh Indraprastha University,1st,Electric Vehicles,College Collaboration
LD477,Mumbai,K. J. Somaiya College of Engineering,2nd,Robotics,Google Form
LD478,Bengaluru,PES University,2nd,Artificial Intelligence,College Collaboration
LD479,Mumbai,University of Mumbai,2nd,Biotechnology,Google Form
LD480,Mumbai,University of Mumbai,2nd,Robotics,Instagram
LD481,Ahmedabad,Gujarat University,3rd,Data Science,LinkedIn
LD482,Bengaluru,Bangalore Institute of Technology,4th,Artificial Intelligence,LinkedIn
LD483,Mumbai,Sardar Patel Institute of Technology,3rd,Environmental Science,College Collaboration
LD484,Pune,Symbiosis International University,3rd,Business Administration,Instagram
LD485,Hyderabad,Osmania University,4th,Biotechnology,College Collaboration
LD486,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Environmental Science,Mass-Mailing
LD487,Mumbai,Mithibai College,2nd,Environmental Science,LinkedIn
LD488,Pune,University of Pune (Savitribai Phule Pune University),3rd,Artificial Intelligence,LinkedIn
LD489,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Artificial Intelligence,Instagram
LD490,Ahmedabad,Nirma University,1st,Robotics,College Collaboration
LD491,Pune,Bharati Vidyapeeth Deemed University,2nd,Cybersecurity,LinkedIn
LD492,Indore,Indian Institute of Management Indore (IIM-I),1st,Robotics,LinkedIn
LD493,Delhi,Guru Gobind Singh Indraprastha University,4th,Artificial Intelligence,Whatsapp
LD494,Ahmedabad,Nirma University,2nd,Business Administration,Mass-Mailing
LD495,Bengaluru,PES University,2nd,Robotics,Google Form
LD496,Kolkata,Indian Statistical Institute,4th,Business Administration,LinkedIn
LD497,Delhi,Guru Gobind Singh Indraprastha University,2nd,Environmental Science,LinkedIn
LD498,Delhi,Jamia Millia Islamia,3rd,Environmental Science,Whatsapp
LD499,Delhi,Lady Shri Ram College for Women,2nd,Electric Vehicles,LinkedIn
LD500,Kolkata,Jadavpur University,3rd,Environmental Science,Instagram
LD501,Mumbai,Sardar Patel Institute of Technology,1st,Artificial Intelligence,LinkedIn
LD502,Delhi,Delhi Technological University (DTU),4th,Cybersecurity,Whatsapp
LD503,Hyderabad,University of Hyderabad,2nd,Cybersecurity,LinkedIn
LD504,Delhi,Jamia Millia Islamia,1st,Business Administration,College Collaboration
LD505,Delhi,University of Delhi,2nd,Environmental Science,LinkedIn
LD506,Hyderabad,University of Hyderabad,4th,Robotics,LinkedIn
LD507,Delhi,Guru Gobind Singh Indraprastha University,1st,Biotechnology,Mass-Mailing
LD508,Hyderabad,Indian School of Business (ISB),4th,Business Administration,College Collaboration
LD509,Jaipur,Rajasthan Technical University,1st,Robotics,LinkedIn
LD510,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Environmental Science,College Collaboration
LD511,Bengaluru,RV College of Engineering,4th,Business Administration,LinkedIn
LD512,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Biotechnology,LinkedIn
LD513,Mumbai,Tata Institute of Social Sciences (TISS),1st,Electric Vehicles,College Collaboration
LD514,Ahmedabad,Gujarat University,3rd,Artificial Intelligence,Google Form
LD515,Jaipur,Rajasthan Technical University,2nd,Electric Vehicles,Whatsapp
LD516,Pune,Symbiosis International University,2nd,Environmental Science,Mass-Mailing
LD517,Chennai,SRM Institute of Science and Technology,2nd,Robotics,LinkedIn
LD518,Ahmedabad,Gujarat University,2nd,Business Administration,LinkedIn
LD519,Ahmedabad,Nirma University,4th,Environmental Science,College Collaboration
LD520,Delhi,University of Delhi,1st,Cybersecurity,Google Form
LD521,Delhi,Jamia Millia Islamia,2nd,Artificial Intelligence,Google Form
LD522,Chennai,Loyola College,4th,Robotics,Whatsapp
LD523,Kolkata,Indian Statistical Institute,3rd,Data Science,Google Form
LD524,Delhi,Guru Gobind Singh Indraprastha University,4th,Electric Vehicles,College Collaboration
LD525,Chennai,Vellore Institute of Technology (VIT),3rd,Artificial Intelligence,College Collaboration
LD526,Delhi,University of Delhi,2nd,Data Science,Google Form
LD527,Bengaluru,Bangalore Institute of Technology,3rd,Electric Vehicles,College Collaboration
LD528,Kolkata,Presidency University,2nd,Environmental Science,Instagram
LD529,Ahmedabad,Nirma University,4th,Cybersecurity,Google Form
LD530,Chennai,Vellore Institute of Technology (VIT),2nd,Artificial Intelligence,Instagram
LD531,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Cybersecurity,Instagram
LD532,Delhi,Guru Gobind Singh Indraprastha University,4th,Robotics,Google Form
LD533,Kolkata,University of Calcutta,3rd,Environmental Science,Google Form
LD534,Chennai,Loyola College,3rd,Artificial Intelligence,College Collaboration
LD535,Ahmedabad,Nirma University,2nd,Business Administration,College Collaboration
LD536,Pune,Bharati Vidyapeeth Deemed University,4th,Environmental Science,Google Form
LD537,Kolkata,University of Calcutta,3rd,Artificial Intelligence,LinkedIn
LD538,Delhi,University of Delhi,3rd,Cybersecurity,College Collaboration
LD539,Chennai,Anna University,2nd,Electric Vehicles,Instagram
LD540,Chennai,Loyola College,3rd,Biotechnology,LinkedIn
LD541,Bengaluru,RV College of Engineering,4th,Biotechnology,Instagram
LD542,Chennai,SRM Institute of Science and Technology,1st,Cybersecurity,College Collaboration
LD543,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Cybersecurity,LinkedIn
LD544,Chennai,Madras Christian College,2nd,Electric Vehicles,Instagram
LD545,Delhi,University of Delhi,3rd,Environmental Science,College Collaboration
LD546,Mumbai,Sardar Patel Institute of Technology,4th,Robotics,College Collaboration
LD547,Mumbai,University of Mumbai,2nd,Data Science,LinkedIn
LD548,Kolkata,Jadavpur University,3rd,Cybersecurity,Instagram
